Secuencial;Fecha de Análisis;Departamento;Municipio;Cultivo;Estado;Tiempo de establecimiento;Topografia;Drenaje;Riego;Fertilizantes aplicados;pH agua:suelo;Materia organica;Fósforo Bray II;Azufre Fosfato monocalcico;Acidez Intercambiable;Aluminio intercambiable;Calcio intercambiable;Magnesio intercambiable;Potasio intercambiable;Sodio intercambiable;capacidad de intercambio cationico;Conductividad electrica;Hierro disponible olsen;Cobre disponible;Manganeso disponible Olsen;Zinc disponible Olsen;Boro disponible;Hierro disponible doble acido;Cobre disponible doble acido;Manganeso disponible doble acido;Zinc disponible doble  acido
23;21/08/2014;CUNDINAMARCA;VILLETA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;No indica;No Tiene;NO FERTILIZAN;7.32;6.258;58.11;91.05;ND;ND;18.12;3.207;0.348;0.130;21.80;2.123;49.80;3.400;1.9;5.5;0.679;ND;ND;ND;ND
76;21/08/2014;CUNDINAMARCA;VILLETA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;No indica;No Tiene;SI CADA CORTE;6.44;5.935;43.24;9.167;ND;ND;15.83;1.459;0.284;0.048;17.63;0.742;59.1;2.7;6.4;7.4;0.301;ND;ND;ND;ND
77;21/08/2014;CUNDINAMARCA;VILLETA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;No indica;No Tiene;NO FERTILIZAN;5.91;4.688;6.999;52.62;ND;ND;16.02;2.282;0.246;0.059;18.61;1.196;100;3.1;3.300;1.799;0.373;ND;ND;ND;ND
78;21/08/2014;CUNDINAMARCA;NIMAIMA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;No indica;No Tiene;NO FERTILIZAN;5.63;3.995;21.31;2.837;ND;ND;7.300;1.346;0.220;0.038;8.906;0.310;329;7.800;5.5;2;0.085;ND;ND;ND;ND
136;21/08/2014;CUNDINAMARCA;NOCAIMA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;No indica;No Tiene;NO FERTILIZAN;5.65;4.113;84.32;6.304;ND;ND;8.012;1.912;0.435;0.032;10.39;0.247;478.0;6.5;4.699;10.8;0.193;ND;ND;ND;ND
137;21/08/2014;CUNDINAMARCA;NOCAIMA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;No indica;No Tiene;NO FERTILIZAN;4.980;4.919;21.68;7.961;0.844;0.707;4.642;1.017;0.275;0.027;6.807;0.257;842;7.1;8.699;4.2;0.157;ND;ND;ND;ND
138;21/08/2014;CUNDINAMARCA;NIMAIMA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;No indica;No Tiene;NO FERTILIZAN;5.75;3.626;35.06;2.686;ND;ND;6.664;1.470;0.153;0.032;8.320;0.237;544;5.899;2.5;1.700;0.103;ND;ND;ND;ND
139;21/08/2014;CUNDINAMARCA;NIMAIMA;Caña Panelera;Establecido;Mas de 10 años;Ondulado;No indica;No Tiene;NO FERTILIZAN;5.61;5.611;68.34;6.002;ND;ND;7.899;1.295;0.208;0.027;9.430;0.388;598;5.300;7.4;7.800;0.121;ND;ND;ND;ND
382;1/08/2014;VALLE DEL CAUCA;TULUÁ;Caña Panelera;Establecido;De 5 a 10 años;Plano;Buen drenaje;Gravedad;MEZCLAS;6.73;2.185;6.083;3.349;ND;ND;11.08;6.723;0.176;0.239;18.22;0.189;19.7;3.300;1.100;0.8;0.215;ND;ND;ND;ND
2.321;25/07/2014;CUNDINAMARCA;VILLETA;Caña Panelera;Establecido;De 5 a 10 años;No indica;Regular drenaje;No Tiene;No indica;7.74;5.246;23.25;16.68;ND;ND;13.04;1.356;0.115;0.027;14.54;0.419;15.4;1.9;0.899;2.5;0.619;ND;ND;ND;ND
